PP395586.1 Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
PV523997.1 Porcine epidemic diarrhea virus isolate SX01-04-CN_2022 spike protein (S) gene, complete cds
PV036781.1 Porcine epidemic diarrhea virus isolate HB6, complete genome
OR085271.1 Porcine epidemic diarrhea virus isolate PEDV-HeNNX9-2022, complete genome
OP433744.1 Porcine epidemic diarrhea virus isolate S-GDGZ spike protein (S) gene, complete cds
OP433734.1 Porcine epidemic diarrhea virus isolate S-GDBQ spike protein (S) gene, complete cds
OP433741.1 Porcine epidemic diarrhea virus isolate S-GDYX spike protein (S) gene, complete cds
OP852659.1 Porcine epidemic diarrhea virus isolate FJLY06-2022 spike protein (S) gene, complete cds
OM948907.1 Porcine epidemic diarrhea virus isolate CH_GX_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OR085270.1 Porcine epidemic diarrhea virus isolate PEDV-GDYJ5-2022, complete genome
OP433732.1 Porcine epidemic diarrhea virus isolate S-GDYD spike protein (S) gene, complete cds
OP433739.1 Porcine epidemic diarrhea virus isolate S-GDDM spike protein (S) gene, complete cds
OP433731.1 Porcine epidemic diarrhea virus isolate S-GDRY spike protein (S) gene, complete cds
OP433738.1 Porcine epidemic diarrhea virus isolate S-GDYH spike protein (S) gene, complete cds
PX229709.1 Porcine epidemic diarrhea virus isolate JS-CZXB2021 spike protein gene, partial cds
PV523964.1 Porcine epidemic diarrhea virus isolate AH03-11-CN_2023 spike protein (S) gene, complete cds
OR808015.1 Porcine epidemic diarrhea virus isolate JSxz2023 spike protein (S) gene, complete cds
PV800119.1 Porcine epidemic diarrhea virus isolate XWF/2025, partial genome
OR085269.1 Porcine epidemic diarrhea virus isolate PEDV-GDJM3-2022, complete genome
PV523985.1 Porcine epidemic diarrhea virus isolate JS01-03-CN_2022 spike protein (S) gene, complete cds
PV523988.1 Porcine epidemic diarrhea virus isolate JS02-03-CN_2022 spike protein (S) gene, complete cds
OP852657.1 Porcine epidemic diarrhea virus isolate FJLY04-2022 spike protein (S) gene, complete cds
OP852658.1 Porcine epidemic diarrhea virus isolate FJLY05-2022 spike protein (S) gene, complete cds
PP901932.1 Porcine epidemic diarrhea virus isolate PEDV/CN/FJQZ spike protein (S) gene, partial cds
OR085267.1 Porcine epidemic diarrhea virus isolate PEDV-FJZZ3-2022, complete genome
OR085268.1 Porcine epidemic diarrhea virus isolate PEDV-FJZZ1-2022, complete genome
MZ740469.1 Porcine epidemic diarrhea virus strain CH-HNLH-03 spike protein (S) gene, complete cds
PV523999.1 Porcine epidemic diarrhea virus isolate ZJ02-01-CN_2022 spike protein (S) gene, complete cds
PV524000.1 Porcine epidemic diarrhea virus isolate ZJ03-01-CN_2022 spike protein (S) gene, complete cds
PV524001.1 Porcine epidemic diarrhea virus isolate ZJ05-06-CN_2022 spike protein (S) gene, complete cds
PV524002.1 Porcine epidemic diarrhea virus isolate ZJ06-08-CN_2022 spike protein (S) gene, complete cds
PV524003.1 Porcine epidemic diarrhea virus isolate ZJ09-12-CN_2022 spike protein (S) gene, complete cds
PP580802.1 Porcine epidemic diarrhea virus isolate JS-NT2023 spike protein (S) gene, complete cds
OQ269591.1 Porcine epidemic diarrhea virus isolate JSNT2112-1248, complete genome
PV536060.1 Porcine epidemic diarrhea virus isolate PEDV-AHCD1-2023, partial genome
PV536061.1 Porcine epidemic diarrhea virus isolate PEDV-AHCD5-2023, partial genome
PQ349479.1 Porcine epidemic diarrhea virus isolate GZ-QN spike protein gene, complete cds
PV890864.1 Porcine epidemic diarrhea virus isolate HNPY-22 spike protein (S) gene, complete cds
PV523994.1 Porcine epidemic diarrhea virus isolate SD05-12-CN_2022 spike protein (S) gene, complete cds
PV523995.1 Porcine epidemic diarrhea virus isolate SD06-12-CN_2022 spike protein (S) gene, complete cds
