strain	accession	clade	description
KP870141.1	KP870141.1	G2a	Porcine epidemic diarrhea virus isolate CH/GD-09/2013 spike protein (S) gene, partial cds
KP890336.1	KP890336.1	G2a	Porcine epidemic diarrhea virus strain CH/HNYF/14, complete genome
KR080551.1	KR080551.1	G2a	Porcine epidemic diarrhea virus isolate HN1303 spike protein (S) gene, complete cds
KR095279.1	KR095279.1	G2a	Porcine epidemic diarrhea virus strain CH/HNQX-3/14, complete genome
KR233256.1	KR233256.1	G2a	Porcine epidemic diarrhea virus strain CH/NMG/BT S protein gene, complete cds
KR233257.1	KR233257.1	G2a	Porcine epidemic diarrhea virus strain CH/NMG/BYNE S protein gene, complete cds
KR296663.1	KR296663.1	G2a	Porcine epidemic diarrhea virus strain CH-GGC-01-2015 S protein (S) gene, complete cds
KR296664.1	KR296664.1	G2a	Porcine epidemic diarrhea virus strain CH-GLC-02-2015 S protein (S) gene, complete cds
KR296665.1	KR296665.1	G2a	Porcine epidemic diarrhea virus strain CH-GLC-12-2014 S protein (S) gene, complete cds
KR296668.1	KR296668.1	G2a	Porcine epidemic diarrhea virus strain CH-HSYKFC-01-2015 S protein (S) gene, complete cds
KR296671.1	KR296671.1	G2a	Porcine epidemic diarrhea virus strain CH-SBC-03-2015 S protein (S) gene, complete cds
KR296672.1	KR296672.1	G2a	Porcine epidemic diarrhea virus strain CH-SFC-12-2014 S protein (S) gene, complete cds
KR296674.1	KR296674.1	G2a	Porcine epidemic diarrhea virus strain CH-STC-12-2014 S protein (S) gene, complete cds
KR296675.1	KR296675.1	G2a	Porcine epidemic diarrhea virus strain CH-TPC-12-2014 S protein (S) gene, complete cds
KR296676.1	KR296676.1	G2a	Porcine epidemic diarrhea virus strain CH-WTC-02-2015 S protein (S) gene, complete cds
KR296679.1	KR296679.1	G2a	Porcine epidemic diarrhea virus strain CH-ZSC-01-2015 S protein (S) gene, complete cds
KR296681.1	KR296681.1	G2a	Porcine epidemic diarrhea virus strain CH-ZWBZb-01-2015 S protein (S) gene, complete cds
KR514318.1	KR514318.1	G2a	Porcine epidemic diarrhea virus isolate CH/NMG/CF spike protein gene, complete cds
KR514319.1	KR514319.1	G2a	Porcine epidemic diarrhea virus isolate CH/NMG/EEDS spike protein gene, complete cds
KR514320.1	KR514320.1	G2a	Porcine epidemic diarrhea virus isolate CH/NMG/HHHT spike protein gene, complete cds
KR514321.1	KR514321.1	G2a	Porcine epidemic diarrhea virus isolate CH/NMG/HLBE spike protein gene, complete cds
KR732651.1	KR732651.1	G2a	Porcine epidemic diarrhea virus isolate SC-ZY-1 S protein gene, complete cds
KR732652.1	KR732652.1	G2a	Porcine epidemic diarrhea virus isolate SC-ZY-2 S protein gene, complete cds
KR818832.1	KR818832.1	G2a	Porcine epidemic diarrhea virus strain XY2013, complete genome
KR818833.1	KR818833.1	G2a	Porcine epidemic diarrhea virus strain JSHA2013, complete genome
KT239506.1	KT239506.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHFY-2 spike protein-like gene, complete sequence
KT239508.1	KT239508.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHXC-1 spike protein-like gene, complete sequence
KT239509.1	KT239509.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-1 spike protein-like gene, complete sequence
KT239510.1	KT239510.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHHF-2 spike protein-like gene, complete sequence
KT239514.1	KT239514.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHBB-2 spike protein-like gene, complete sequence
KT239515.1	KT239515.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHMAS-1 spike protein-like gene, complete sequence
KT239517.1	KT239517.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain AHAQ-1 spike protein-like gene, complete sequence
KT239520.1	KT239520.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain JXJJ-1 spike protein-like gene, complete sequence
KT239521.1	KT239521.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain JXJJ-2 spike protein-like gene, complete sequence
KT239522.1	KT239522.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain JXXY-1 spike protein-like gene, complete sequence
KT239523.1	KT239523.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain JXXY-2 spike protein-like gene, complete sequence
KT266578.1	KT266578.1	G2a	Porcine epidemic diarrhea virus isolate HB-HA2015 spike glycoprotein gene, complete cds
KT313036.1	KT313036.1	G2a	Porcine epidemic diarrhea virus isolate PEDV2-S-5 spike protein (S) gene, complete cds
KT313037.1	KT313037.1	G2a	Porcine epidemic diarrhea virus isolate PEDV3-S-1 spike protein (S) gene, complete cds
KT313038.1	KT313038.1	G2a	Porcine epidemic diarrhea virus isolate PEDV4-S-3 spike protein (S) gene, complete cds
KT313039.1	KT313039.1	G2a	Porcine epidemic diarrhea virus isolate PEDV1-S-4 spike protein (S) gene, complete cds
KT323980.1	KT323980.1	G2a	Porcine epidemic diarrhea virus strain LNCT2, complete genome
KT388411.1	KT388411.1	G2a	Porcine epidemic diarrhea virus isolate CH-XWC-2014 spike glycoprotein gene, complete cds
KT388415.1	KT388415.1	G2a	Porcine epidemic diarrhea virus isolate CH-TPC-2014 spike glycoprotein gene, complete cds
KT388416.1	KT388416.1	G2a	Porcine epidemic diarrhea virus isolate CH-STC-2014 spike glycoprotein gene, complete cds
KT388417.1	KT388417.1	G2a	Porcine epidemic diarrhea virus isolate CH-SBC-2013 spike glycoprotein gene, complete cds
KT388418.1	KT388418.1	G2a	Porcine epidemic diarrhea virus isolate CH-LXC-2014 spike glycoprotein gene, complete cds
KT388419.1	KT388419.1	G2a	Porcine epidemic diarrhea virus isolate CH-HSY-2013 spike glycoprotein gene, complete cds
KT948011.1	KT948011.1	G2a	Porcine epidemic diarrhea virus isolate CH-CWC-2013 spike protein gene, partial cds
KT989352.1	KT989352.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNZK-14.12 spike protein gene, complete cds
KT989353.1	KT989353.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNJZ-15.4 spike protein gene, complete cds
KT989355.1	KT989355.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNKF-14.8 spike protein gene, complete cds
KT989358.1	KT989358.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNXC-14.11 spike protein gene, complete cds
KT989359.1	KT989359.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNXC-14.9 spike protein gene, complete cds
KT989360.1	KT989360.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNJZ-14.8 spike protein gene, complete cds
KT989361.1	KT989361.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNJZ-14.11 spike protein gene, complete cds
KT989364.1	KT989364.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNHB-14.10 spike protein gene, complete cds
KT989365.1	KT989365.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNAY-15.4 spike protein gene, complete cds
KT989366.1	KT989366.1	G2a	Porcine epidemic diarrhea virus isolate CH-HNAY-14.7 spike protein gene, complete cds
KU133232.1	KU133232.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDBZ-1-2015 spike protein (S) gene, complete cds
KU133233.1	KU133233.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDBZ-2-2015 spike protein (S) gene, complete cds
KU133235.1	KU133235.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDCQ-2015 spike protein (S) gene, complete cds
KU133237.1	KU133237.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDDP-2-2014 spike protein (S) gene, complete cds
KU133239.1	KU133239.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDDY-2012 spike protein (S) gene, complete cds
KU133240.1	KU133240.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDDZ-2012 spike protein (S) gene, complete cds
KU133241.1	KU133241.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDHZ-1-2013 spike protein (S) gene, complete cds
KU133242.1	KU133242.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDHZ-2-2013 spike protein (S) gene, complete cds
KU133243.1	KU133243.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDHZ-3-2013 spike protein (S) gene, complete cds
KU133244.1	KU133244.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDHZ-4-2013 spike protein (S) gene, complete cds
KU133245.1	KU133245.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDJY-2012 spike protein (S) gene, complete cds
KU133246.1	KU133246.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDLQ-2015 spike protein (S) gene, complete cds
KU133249.1	KU133249.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDLY-1-2012 spike protein (S) gene, complete cds
KU133252.1	KU133252.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDLY-2-2012 spike protein (S) gene, complete cds
KU133253.1	KU133253.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDLY-2-2013 spike protein (S) gene, complete cds
KU133260.1	KU133260.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDQF-5-2014 spike protein (S) gene, complete cds
KU133261.1	KU133261.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDQH-2014 spike protein (S) gene, complete cds
KU133263.1	KU133263.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDTA-2012 spike protein (S) gene, complete cds
KU133264.1	KU133264.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDWF-2012 spike protein (S) gene, complete cds
KU133265.1	KU133265.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDWF-2015 spike protein (S) gene, complete cds
KU133266.1	KU133266.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDYT-2012 spike protein (S) gene, complete cds
KU133268.1	KU133268.1	G2a	Porcine epidemic diarrhea virus isolate CH-SDZC-2012 spike protein (S) gene, complete cds
KU237213.1	KU237213.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus strain CG S protein (S) gene, complete cds
KU237214.1	KU237214.1	G2a	Porcine epidemic diarrhea virus strain DF1 S protein (S) gene, complete cds
KU237215.1	KU237215.1	G2a	Porcine epidemic diarrhea virus strain DF2 S protein (S) gene, complete cds
KU237216.1	KU237216.1	G2a	Porcine epidemic diarrhea virus strain DF3 S protein (S) gene, complete cds
KU237218.1	KU237218.1	G2a	Porcine epidemic diarrhea virus strain HY S protein (S) gene, complete cds
KU237221.1	KU237221.1	G2a	Porcine epidemic diarrhea virus strain LY S protein (S) gene, complete cds
KU237228.1	KU237228.1	G2a	Porcine epidemic diarrhea virus strain SS S protein (S) gene, complete cds
KU237232.1	KU237232.1	G2a	Porcine epidemic diarrhea virus strain YY S protein (S) gene, complete cds
KU237234.1	KU237234.1	G2a	Porcine epidemic diarrhea virus strain YZ2 S protein (S) gene, complete cds
KU556282.1	KU556282.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-101 S protein-like gene, complete sequence
KU556283.1	KU556283.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-107 S protein-like gene, complete sequence
KU556284.1	KU556284.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-109 S protein-like gene, complete sequence
KU556285.1	KU556285.1	G2a	UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-113 S protein-like gene, partial sequence
KU558701.1	KU558701.1	G2a	Porcine epidemic diarrhea virus isolate ZJU/G2/2013, complete genome
KU975389.1	KU975389.1	G2a	Porcine epidemic diarrhea virus strain CH/SCCD/2014, complete genome
KU975403.1	KU975403.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCAY-1-2015 spike protein (S) gene, complete cds
KU975404.1	KU975404.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCAY-2-2015 spike protein (S) gene, complete cds
KU975406.1	KU975406.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCCD-2014 spike protein (S) gene, complete cds
KU975409.1	KU975409.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCJT-2015 spike protein (S) gene, complete cds
KU975410.1	KU975410.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCMY-1-2014 spike protein (S) gene, complete cds
KU975411.1	KU975411.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCMY-2-2014 spike protein (S) gene, complete cds
KU975412.1	KU975412.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCMY-3-2014 spike protein (S) gene, complete cds
KU975413.1	KU975413.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCMY-4-2014 spike protein (S) gene, complete cds
KU975414.1	KU975414.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCNC-1-2015 spike protein (S) gene, complete cds
KU975415.1	KU975415.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCNC-2-2015 spike protein (S) gene, complete cds
KU975416.1	KU975416.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCNC-3-2015 spike protein (S) gene, complete cds
KU975418.1	KU975418.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCXC-1-2015 spike protein (S) gene, complete cds
KU975419.1	KU975419.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCXC-2-2015 spike protein (S) gene, complete cds
KU975420.1	KU975420.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCYA-1-2014 spike protein (S) gene, complete cds
KU975422.1	KU975422.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCZG-2015 spike protein (S) gene, complete cds
KU975423.1	KU975423.1	G2a	Porcine epidemic diarrhea virus isolate CH-SCYA-2-2014 spike protein (S) gene, complete cds
KX064280.1	KX064280.1	G2a	Porcine epidemic diarrhea virus isolate SD2014, complete genome
KX066126.1	KX066126.1	G2a	Porcine epidemic diarrhea virus strain BJ-2011-C, complete genome
KX073607.1	KX073607.1	G2a	Porcine epidemic diarrhea virus isolate GZGL S protein (S) gene, complete cds
KX073608.1	KX073608.1	G2a	Porcine epidemic diarrhea virus isolate GZZY S protein (S) gene, complete cds
KX073610.1	KX073610.1	G2a	Porcine epidemic diarrhea virus isolate GZMR S protein (S) gene, complete cds
KX532180.1	KX532180.1	G2a	Porcine epidemic diarrhea virus strain CH_SXCH11_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KX532181.1	KX532181.1	G2a	Porcine epidemic diarrhea virus strain CH_SXHF18_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KX532182.1	KX532182.1	G2a	Porcine epidemic diarrhea virus strain CH_SXJZY15_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KX532183.1	KX532183.1	G2a	Porcine epidemic diarrhea virus strain CH_SXTLF10_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
KX550281.1	KX550281.1	G2a	Porcine epidemic diarrhea virus strain ZJ15XS0101 P1, complete genome
KX580953.1	KX580953.1	G2a	Porcine epidemic diarrhea virus strain KB2013-4, complete genome
KX812523.1	KX812523.1	G2a	Porcine epidemic diarrhea virus isolate XM1-2, complete genome
KX981440.1	KX981440.1	G2a	Porcine epidemic diarrhea virus isolate CH/HNZZ47/2016, complete genome
KY007139.1	KY007139.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-Hjms, complete genome
KY007140.1	KY007140.1	G2a	Porcine epidemic diarrhea virus isolate PEDV-LNsy, complete genome
KY070587.1	KY070587.1	G2a	Porcine epidemic diarrhea virus isolate JSCZ1601, complete genome
KY075782.1	KY075782.1	G2a	Porcine epidemic diarrhea virus strain LNfx1/2014 S protein (S) gene, complete cds
KY075783.1	KY075783.1	G2a	Porcine epidemic diarrhea virus strain LNsy1/2014 S protein (S) gene, complete cds
KY075784.1	KY075784.1	G2a	Porcine epidemic diarrhea virus strain LNsy1/2015 S protein (S) gene, complete cds
KY075786.1	KY075786.1	G2a	Porcine epidemic diarrhea virus strain LNfx1/2015 S protein (S) gene, complete cds
KY075787.1	KY075787.1	G2a	Porcine epidemic diarrhea virus strain LNtL1/2015 S protein (S) gene, complete cds
KY075788.1	KY075788.1	G2a	Porcine epidemic diarrhea virus strain LNyk1/2015 S protein (S) gene, complete cds
KY075789.1	KY075789.1	G2a	Porcine epidemic diarrhea virus strain LNdL1/2015 S protein (S) gene, complete cds
KY075790.1	KY075790.1	G2a	Porcine epidemic diarrhea virus strain LNdd1/2015 S protein (S) gene, complete cds
KY211038.1	KY211038.1	G2a	Porcine epidemic diarrhea virus isolate JZ1S spike protein gene, complete cds
KY211039.1	KY211039.1	G2a	Porcine epidemic diarrhea virus isolate LH1S spike protein gene, complete cds
KY211040.1	KY211040.1	G2a	Porcine epidemic diarrhea virus isolate LH2S spike protein gene, complete cds
KY211041.1	KY211041.1	G2a	Porcine epidemic diarrhea virus isolate LY1S spike protein gene, complete cds
KY211042.1	KY211042.1	G2a	Porcine epidemic diarrhea virus isolate NY1S spike protein gene, complete cds
KY211043.1	KY211043.1	G2a	Porcine epidemic diarrhea virus isolate NY2S spike protein gene, complete cds
KY211045.1	KY211045.1	G2a	Porcine epidemic diarrhea virus isolate NY4S nonfunctional spike protein gene, partial sequence
KY211046.1	KY211046.1	G2a	Porcine epidemic diarrhea virus isolate NY5S spike protein gene, complete cds
KY211047.1	KY211047.1	G2a	Porcine epidemic diarrhea virus isolate NY6S spike protein gene, complete cds
KY211048.1	KY211048.1	G2a	Porcine epidemic diarrhea virus isolate NY7S spike protein gene, complete cds
KY211049.1	KY211049.1	G2a	Porcine epidemic diarrhea virus isolate NY8S nonfunctional spike protein gene, partial sequence
KY211051.1	KY211051.1	G2a	Porcine epidemic diarrhea virus isolate NY10S nonfunctional spike protein gene, partial sequence
KY211053.1	KY211053.1	G2a	Porcine epidemic diarrhea virus isolate PDS2S spike protein gene, complete cds
KY211054.1	KY211054.1	G2a	Porcine epidemic diarrhea virus isolate XC1S nonfunctional spike protein gene, partial sequence
KY211055.1	KY211055.1	G2a	Porcine epidemic diarrhea virus isolate XC2S spike protein gene, complete cds
KY211056.1	KY211056.1	G2a	Porcine epidemic diarrhea virus isolate XX1S spike protein gene, complete cds
KY211057.1	KY211057.1	G2a	Porcine epidemic diarrhea virus isolate XY1S spike protein gene, complete cds
KY211060.1	KY211060.1	G2a	Porcine epidemic diarrhea virus isolate XY4S nonfunctional spike protein gene, partial sequence
KY211062.1	KY211062.1	G2a	Porcine epidemic diarrhea virus isolate XY6S spike protein gene, complete cds
KY211063.1	KY211063.1	G2a	Porcine epidemic diarrhea virus isolate XY7S spike protein gene, complete cds
KY211064.1	KY211064.1	G2a	Porcine epidemic diarrhea virus isolate XY8S nonfunctional spike protein gene, partial sequence
KY211065.1	KY211065.1	G2a	Porcine epidemic diarrhea virus isolate XY9S nonfunctional spike protein gene, partial sequence
KY211066.1	KY211066.1	G2a	Porcine epidemic diarrhea virus isolate ZMD2S spike protein gene, complete cds
KY211067.1	KY211067.1	G2a	Porcine epidemic diarrhea virus isolate ZMD3S spike protein gene, complete cds
KY211068.1	KY211068.1	G2a	Porcine epidemic diarrhea virus isolate ZMD4S nonfunctional spike protein gene, partial sequence
